id;sentence;type;subject;direction;object;issue;alt_issue;source;prompttype;match_det;match_dir;match_sub;match_ob;match_issue;match_whole;issue_problems;cs_id
22;"As political hostages to fortune go, Ed Miliband's pledge to cut household energy bills by £300 a year by 2030 was, as they say in Whitehall, ""unwise"".";actor_issue;UK Government;opposition;NA;cutting household energy bills by £300 a year by 2030;NA;llm;fewshot;1;0;1;1;1;0;1;11
46;"At the budget in November, Rachel Reeves said: ""We are keeping our promise to get energy bills down and cut the cost of living, with £150 cut from the average household energy bill from April.""";actor_issue;UK Government;support;NA;energy bills down;NA;llm;baseline;1;1;1;1;1;1;;12
46;"At the budget in November, Rachel Reeves said: ""We are keeping our promise to get energy bills down and cut the cost of living, with £150 cut from the average household energy bill from April.""";actor_issue;Labour Party;support;NA;energy bills;NA;llm;shortened;1;1;1;1;1;1;;12
46;"At the budget in November, Rachel Reeves said: ""We are keeping our promise to get energy bills down and cut the cost of living, with £150 cut from the average household energy bill from April.""";actor_issue;Labour Party;support;NA;energy bills and cost of living;NA;llm;fewshot;1;1;1;1;1;1;1;12
;"At the budget in November, Rachel Reeves said: ""We are keeping our promise to get energy bills down and cut the cost of living, with £150 cut from the average household energy bill from April.""";actor_issue;Labour Party;support;NA;energy bills and cost of living;NA;llm;fewshot;1;1;1;1;1;1;1;13
75;Badenoch criticises Starmer for going to Cop30, claiming other leaders from 'serious' countries were staying away;actor-actor;Conservative Party;opposition;Labour Party;NA;NA;llm;baseline;1;1;1;1;0;0;;14
75;Badenoch criticises Starmer for going to Cop30, claiming other leaders from 'serious' countries were staying away;actor_issue;Conservative Party;opposition;NA;going to Cop30;NA;llm;baseline;0;1;1;0;1;0;1;14
75;Badenoch criticises Starmer for going to Cop30, claiming other leaders from 'serious' countries were staying away;actor-actor;Conservative Party;opposition;Labour Party;COP30 climate conference participation;NA;llm;shortened;1;1;1;1;1;1;1;14
75;Badenoch criticises Starmer for going to Cop30, claiming other leaders from 'serious' countries were staying away;actor_issue;Conservative Party;opposition;NA;COP30 climate conference participation;NA;llm;shortened;0;1;1;0;1;0;1;14
75;Badenoch criticises Starmer for going to Cop30, claiming other leaders from 'serious' countries were staying away ;actor-actor;Conservative Party;opposition;Labour Party;Cop30 climate conference;NA;llm;fewshot;1;1;1;1;1;1;1;14
19;But the Institute for Fiscal Studies has pointed out that these savings will be quickly eroded by other rising energy costs.;actor_issue;Institute for Fiscal Studies;opposition;NA;rising energy costs;NA;llm;baseline;1;1;1;0;1;0;;15
19;But the Institute for Fiscal Studies has pointed out that these savings will be quickly eroded by other rising energy costs.;actor_issue;Institute for Fiscal Studies;opposition;NA;energy costs;NA;llm;shortened;1;1;1;0;1;0;1;15
19;But the Institute for Fiscal Studies has pointed out that these savings will be quickly eroded by other rising energy costs.;actor_issue;Institute for Fiscal Studies;opposition;NA;rising energy costs;NA;llm;fewshot;1;1;1;0;1;0;;15
86;"Claire Coutinho, the Conservative shadow energy secretary, said: ""There are 29 million families who were promised that Labour would cut their bills by £300, but ... this plan will benefit very few of those families""";actor_issue;Conservative Party;opposition;NA;cut their bills by £300;NA;llm;baseline;1;1;1;0;1;0;;16
86;"Claire Coutinho, the Conservative shadow energy secretary, said: ""There are 29 million families who were promised that Labour would cut their bills by £300, but ... this plan will benefit very few of those families""";actor_issue;Conservative Party;opposition;NA;cutting household energy bills by £300;NA;llm;baseline;1;1;1;0;1;0;;16
86;"Claire Coutinho, the Conservative shadow energy secretary, said: ""There are 29 million families who were promised that Labour would cut their bills by £300, but ... this plan will benefit very few of those families""";actor_issue;Conservative Party;opposition;NA;cut their bills by £300;NA;llm;baseline;1;1;1;0;1;0;;16
86;"Claire Coutinho, the Conservative shadow energy secretary, said: ""There are 29 million families who were promised that Labour would cut their bills by £300, but ... this plan will benefit very few of those families""";actor_issue;Conservative Party;opposition;NA;cutting household energy bills by £300;NA;llm;baseline;1;1;1;0;1;0;;16
86;"Claire Coutinho, the Conservative shadow energy secretary, said: ""There are 29 million families who were promised that Labour would cut their bills by £300, but ... this plan will benefit very few of those families""";actor-actor;Conservative Party;opposition;Labour Party;household energy bills;NA;llm;shortened;1;1;1;1;1;1;1;16
86;"Claire Coutinho, the Conservative shadow energy secretary, said: ""There are 29 million families who were promised that Labour would cut their bills by £300, but ... this plan will benefit very few of those families""";actor-actor;Conservative Party;opposition;Labour Party;household energy bills;NA;llm;fewshot;1;1;1;1;1;1;1;16
43;Dale Vince, the renewable energy magnate who has donated more than £6 million to the Labour Party, also said that plans to roll out cheap loans for households should be restricted to solar panels.;actor_issue;Ecotricity;opposition;NA;subsidies for renewable energy;NA;llm;baseline;1;0;0;1;0;0;;18
43;Dale Vince, the renewable energy magnate who has donated more than £6 million to the Labour Party, also said that plans to roll out cheap loans for households should be restricted to solar panels.;actor_issue;Labour Party;opposition;NA;government cheap loan scheme for household renewable energy (solar panels);NA;llm;shortened;1;0;0;1;0;0;;18
43;Dale Vince, the renewable energy magnate who has donated more than £6 million to the Labour Party, also said that plans to roll out cheap loans for households should be restricted to solar panels.;actor_issue;Labour Party;opposition;NA;cheap loans for households;NA;llm;fewshot;1;0;0;1;0;0;;18
66;"During the most recent call, on Thursday last week, staff at the Department for Energy Security and Net Zero implored companies to help ministers ""take the credit for the cut in bills"".";actor-actor;Department for Energy Security and Net Zero;support;energy companies;cut in bills;NA;llm;baseline;1;1;1;1;1;1;;19
66;"During the most recent call, on Thursday last week, staff at the Department for Energy Security and Net Zero implored companies to help ministers ""take the credit for the cut in bills"".";actor-actor;Department for Energy Security and Net Zero;support;energy companies;energy bill cuts;NA;llm;shortened;1;1;1;1;1;1;;19
66;"During the most recent call, on Thursday last week, staff at the Department for Energy Security and Net Zero implored companies to help ministers ""take the credit for the cut in bills"".";actor-actor;Department for Energy Security and Net Zero;support;energy companies;cut in energy bills;NA;llm;fewshot;1;1;1;1;1;1;;19
30;Ed Miliband, the energy secretary, promised at the general election that household energy bills would fall by £300 by the end of the parliament.;actor-actor;Labour Party;support;NA;energy bills;NA;llm;shortened;1;1;1;1;1;1;1;20
30;Ed Miliband, the energy secretary, promised at the general election that household energy bills would fall by £300 by the end of the parliament.;actor_issue;Labour Party;support;NA;household energy bills;NA;llm;fewshot;1;1;1;1;1;1;;20
1;Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps.;actor_issue;Energy industry experts;opposition;NA;transition from gas boilers to more expensive but cleaner heat pumps;NA;llm;baseline;1;0;1;1;1;0;1;21
1;Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps.;actor-actor;energy industry;opposition;UK government ministers;heat pump transition;NA;llm;shortened;1;0;1;1;1;0;1;21
1;Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps.;actor-actor;Energy industry experts;opposition;Ministers;transition from gas boilers to cleaner heat pumps;NA;llm;fewshot;1;0;1;1;1;0;1;21
44;Hammond said the best way to ensure quality was for local governments to work closely with local suppliers over the long term, building relationships and trust so that problems could be rectified and work of a high standard replicated across areas, potentially through “street by street” retrofit programmes.;actor-actor;UK Government;support;local suppliers;street by street retrofit programmes;NA;llm;baseline;1;1;0;0;0;0;;22
44;Hammond said the best way to ensure quality was for local governments to work closely with local suppliers over the long term, building relationships and trust so that problems could be rectified and work of a high standard replicated across areas, potentially through “street by street” retrofit programmes.;actor-actor;local governments;support;local suppliers;retrofit quality;NA;llm;shortened;1;1;0;0;0;0;;22
44;Hammond said the best way to ensure quality was for local governments to work closely with local suppliers over the long term, building relationships and trust so that problems could be rectified and work of a high standard replicated across areas, potentially through “street by street” retrofit programmes.;actor-actor;Hammond;support;local governments;quality of retrofit work;NA;llm;fewshot;1;1;1;0;0;0;;22
21;He added: “The risk here is that, like winter fuel payments, the additional benefit of cutting support schemes for clean technology isn’t noticed by the majority, but really is by those that lose out.”;actor_issue;Institute of Public Policy Research;opposition;NA;cutting support schemes for clean technology;NA;llm;baseline;1;0;1;1;0;0;;23
21;He added: “The risk here is that, like winter fuel payments, the additional benefit of cutting support schemes for clean technology isn’t noticed by the majority, but really is by those that lose out.”;actor_issue;Institute of Public Policy Research;opposition;NA;cutting support schemes for clean technology;NA;llm;shortened;1;0;1;1;0;0;;23
21;He added: “The risk here is that, like winter fuel payments, the additional benefit of cutting support schemes for clean technology isn’t noticed by the majority, but really is by those that lose out.”;actor-actor;Institute of Public Policy Research;opposition;NA;cutting support schemes for clean technology;NA;llm;fewshot;1;0;1;0;0;0;;23
18;He said the world should not give up on limiting global heating to the crucial 1.5C threshold, as we could be on the verge of a rapid global shift to clean energy that will defy predictions of doom.;actor_issue;Labour Party;support;NA;limiting global heating to the crucial 1.5C threshold;NA;llm;baseline;1;1;1;1;1;1;1;24
18;He said the world should not give up on limiting global heating to the crucial 1.5C threshold, as we could be on the verge of a rapid global shift to clean energy that will defy predictions of doom.;actor_issue;Labour Party;support;NA;limiting global heating to 1.5°C;NA;llm;shortened;1;1;1;1;1;1;1;24
18;He said the world should not give up on limiting global heating to the crucial 1.5C threshold, as we could be on the verge of a rapid global shift to clean energy that will defy predictions of doom.;actor_issue;Labour Party;support;NA;limiting global heating to the 1.5°C climate target;NA;llm;fewshot;1;1;1;1;1;1;1;24
47;However, while BP's was selected as a priority project to receive government support and store its emissions under the North Sea, H2NorthEast is still awaiting selection;actor-actor;UK Government;support;BP;receive government support and store emissions under the North Sea (blue hydrogen project with carbon capture and storage);NA;llm;baseline;1;1;1;1;0;0;1;25
47;However, while BP's was selected as a priority project to receive government support and store its emissions under the North Sea, H2NorthEast is still awaiting selection;actor-actor;BP;support;Government;government support for blue hydrogen projects;NA;llm;shortened;1;1;0;0;1;0;;25
47;However, while BP's was selected as a priority project to receive government support and store its emissions under the North Sea, H2NorthEast is still awaiting selection;actor-actor;BP;support;UK Government;government support for blue?hydrogen projects and carbon?capture storage under the North Sea;NA;llm;fewshot;1;1;0;0;1;0;1;25
63;Hundreds of thousands of homeowners will lose their right to subsidies for eco-friendly heat pumps as a result of government plans to bring down energy bills at the budget.;actor_issue;homeowners;opposition;NA;subsidies for eco-friendly heat pumps;NA;llm;baseline;1;1;0;1;1;0;1;27
63;Hundreds of thousands of homeowners will lose their right to subsidies for eco-friendly heat pumps as a result of government plans to bring down energy bills at the budget.;actor_issue;UK Government;opposition;NA;heat pump subsidies;NA;llm;fewshot;1;1;1;1;1;1;;27
12;It would leave Britain vulnerable to the whims of fossil fuel despots, put thousands of jobs at risk and blow a hole clean through the UK’s plans for climate action.”;actor_issue;UK Government;opposition;NA;UK’s plans for climate action;NA;llm;baseline;1;0;0;0;1;0;1;29
12;It would leave Britain vulnerable to the whims of fossil fuel despots, put thousands of jobs at risk and blow a hole clean through the UK’s plans for climate action.”;actor_issue;UK Government;opposition;NA;climate action;NA;llm;shortened;1;0;0;0;1;0;;29
12;It would leave Britain vulnerable to the whims of fossil fuel despots, put thousands of jobs at risk and blow a hole clean through the UK’s plans for climate action.”;actor-actor;E3G;opposition;UK government;climate action;NA;llm;fewshot;1;0;1;0;1;0;;29
69;The sector] needs certainty and security now if any meaningful progress on tackling fuel poverty and driving down home heating bills is going to be made in this parliament,” she added.;actor_issue;insulation sector;support;NA;tackling fuel poverty and driving down home heating bills;NA;llm;baseline;1;1;0;1;1;0;1;32
69;The sector] needs certainty and security now if any meaningful progress on tackling fuel poverty and driving down home heating bills is going to be made in this parliament,” she added.;actor_issue;Insulation sector;support;NA;fuel poverty;NA;llm;shortened;1;0;0;1;0;0;1;32
69;The sector] needs certainty and security now if any meaningful progress on tackling fuel poverty and driving down home heating bills is going to be made in this parliament,” she added.;actor-actor;Energy Efficiency Infrastructure Group;support;NA;fuel poverty and home heating bills;NA;llm;fewshot;1;0;1;0;0;0;1;32
96;Keir Starmer is understood to be particularly worried about the impact of an expected £100 rise in energy bills next spring, and wants to do enough to eliminate that and bring down costs even further.;actor_issue;Labour Party;opposition;NA;expected £100 rise in energy bills next spring;NA;llm;baseline;1;1;1;1;1;1;1;33
96;Keir Starmer is understood to be particularly worried about the impact of an expected £100 rise in energy bills next spring, and wants to do enough to eliminate that and bring down costs even further.;actor_issue;Labour Party;support;NA;energy bills;NA;llm;shortened;1;0;1;1;1;0;1;33
96;Keir Starmer is understood to be particularly worried about the impact of an expected £100 rise in energy bills next spring, and wants to do enough to eliminate that and bring down costs even further.;actor_issue;Labour Party;opposition;NA;expected £100 rise in energy bills next spring;NA;llm;fewshot;1;1;1;1;1;1;1;33
7;"Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support.";actor_issue;Labour Party;opposition;NA;government push for zerobill homes;NA;llm;baseline;1;1;0;0;1;0;1;34
7;"Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support.";actor_issue;Labour Party;opposition;NA;zero?bill homes policy;NA;llm;shortened;1;1;0;0;1;0;1;34
7;"Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support.";actor_issue;Labour Party;opposition;NA;government push for zerobill homes;NA;llm;fewshot;1;1;0;0;1;0;1;34
24;Leo Vincent, a senior policy adviser at the E3G thinktank, said: “If this is really what the government is planning, it is robbing Peter to pay Paul”.;actor-actor;E3G;opposition;UK Government;NA;NA;llm;baseline;1;1;1;1;0;0;;35
24;Leo Vincent, a senior policy adviser at the E3G thinktank, said: “If this is really what the government is planning, it is robbing Peter to pay Paul”.;actor-actor;E3G;opposition;Government;clean technology support;NA;llm;shortened;1;1;1;1;1;1;;35
24;Leo Vincent, a senior policy adviser at the E3G thinktank, said: “If this is really what the government is planning, it is robbing Peter to pay Paul”.;actor-actor;E3G;opposition;UK Government;government plan to cut support for clean?technology schemes;NA;llm;fewshot;1;1;1;1;0;0;1;35
11;Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform;actor-actor;Labour Party;opposition;Labour Party;UK’s climate policies;NA;llm;baseline;1;1;1;1;1;1;1;36
11;Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform;actor-actor;Labour Party;opposition;Labour Party;climate policy;NA;llm;shortened;1;1;1;1;1;1;1;36
11;Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform;actor-actor;Labour Party;opposition;Labour Party;UK climate policies;NA;llm;fewshot;1;1;1;1;1;1;1;36
52;"Part of the answer could be in the pipelines Butterworth's company operates; it has been carrying out trials to prove that hydrogen can be safely blended in with natural gas, and the government has consulted on a ""minded-to"" position to allow up to 2 per cent of blending";actor_issue;UK Government;support;NA;allow up to 2 per cent of hydrogen blending;NA;llm;baseline;1;1;1;1;0;0;1;38
52;"Part of the answer could be in the pipelines Butterworth's company operates; it has been carrying out trials to prove that hydrogen can be safely blended in with natural gas, and the government has consulted on a ""minded-to"" position to allow up to 2 per cent of blending";actor_issue;UK Government;support;NA;hydrogen blending in natural gas;NA;llm;shortened;1;1;1;1;0;0;1;38
52;"Part of the answer could be in the pipelines Butterworth's company operates; it has been carrying out trials to prove that hydrogen can be safely blended in with natural gas, and the government has consulted on a ""minded-to"" position to allow up to 2 per cent of blending";actor_issue;UK Government;support;NA;allow up to 2?% hydrogen blending in natural gas pipelines;NA;llm;fewshot;1;1;1;1;0;0;1;38
13;Rachel Reeves, the chancellor, is planning to announce a series of measures to bring down energy bills amid concerns the country’s stubbornly high cost of living is driving millions of voters to Reform UK.;actor_issue;Labour Party;support;NA;bringing down energy bills;NA;llm;baseline;1;1;1;1;1;1;;39
13;Rachel Reeves, the chancellor, is planning to announce a series of measures to bring down energy bills amid concerns the country’s stubbornly high cost of living is driving millions of voters to Reform UK.;actor_issue;Labour Party;support;NA;energy bills;NA;llm;shortened;1;1;1;1;1;1;1;39
13;Rachel Reeves, the chancellor, is planning to announce a series of measures to bring down energy bills amid concerns the country’s stubbornly high cost of living is driving millions of voters to Reform UK.;actor_issue;Rachel Reeves;support;NA;energy bills;NA;llm;fewshot;1;1;1;1;1;1;1;39
49;Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year.;actor_issue;Reeves and the prime minister;opposition;NA;high energy bills;NA;llm;baseline;1;1;1;1;1;1;1;40
49;Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year.;actor_issue;Labour Party and Conservative Party;opposition;NA;high energy bills;NA;llm;shortened;1;1;0;1;1;0;;40
49;Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year.;actor_issue;Labour Party and Conservative Party;opposition;NA;high energy bills;NA;llm;fewshot;1;1;0;1;1;0;;40
76;Reeves and the prime minister, Keir Starmer, have been looking for ways to bring energy bills down by an average of £170 a year, having promised before the election to cut them by £300;actor_issue;Labour Party;support;NA;bring energy bills down by an average of £170 a year;NA;llm;baseline;1;1;1;1;1;1;;43
76;Reeves and the prime minister, Keir Starmer, have been looking for ways to bring energy bills down by an average of £170 a year, having promised before the election to cut them by £300;actor_issue;Labour Party;support;NA;energy bills;NA;llm;fewshot;1;1;1;1;1;1;1;43
10;Reeves is finalising a multibillion pound energy support package that is likely to cut taxes and green levies from people’s bills as she looks to save as much as £170 from the average bill.;actor_issue;Labour Party;support;NA;cut taxes and green levies from people’s bills;NA;llm;baseline;1;1;1;1;1;1;;45
10;Reeves is finalising a multibillion pound energy support package that is likely to cut taxes and green levies from people’s bills as she looks to save as much as £170 from the average bill.;actor_issue;Labour Party;support;NA;energy taxes and green levies;NA;llm;shortened;1;1;1;1;1;1;1;45
10;Reeves is finalising a multibillion pound energy support package that is likely to cut taxes and green levies from people’s bills as she looks to save as much as £170 from the average bill.;actor_issue;Labour Party;support;NA;cutting taxes and green levies from energy bills;NA;llm;fewshot;1;1;1;1;1;1;;45
89;"Reform UK said that Labour's manifesto pledge to reduce energy bills lay ""in tatters"", adding that the new proposal ""drives the final nail into that broken promise"".";actor-actor;Reform UK;opposition;Labour;reduce energy bills;NA;llm;baseline;1;1;1;1;1;1;;47
89;"Reform UK said that Labour's manifesto pledge to reduce energy bills lay ""in tatters"", adding that the new proposal ""drives the final nail into that broken promise"".";actor-actor;Reform UK;opposition;Labour;energy bills;NA;llm;shortened;1;1;1;1;1;1;1;47
89;"Reform UK said that Labour's manifesto pledge to reduce energy bills lay ""in tatters"", adding that the new proposal ""drives the final nail into that broken promise"".";actor-actor;Reform UK;opposition;Labour;reducing energy bills;NA;llm;fewshot;1;1;1;1;1;1;;47
89;"Reform UK said that Labour's manifesto pledge to reduce energy bills lay ""in tatters"", adding that the new proposal ""drives the final nail into that broken promise"".";actor-actor;Reform UK;opposition;Labour;energy bills;NA;llm;fewshot;1;1;1;1;1;1;1;47
60;"Richard Tice, the party's deputy leader, said the move was part of Miliband's ""fanatical net-zero crusade"" that would pile ""even more pain on to households that have already been stung by energy bills soaring by hundreds of pounds"".";actor_issue;Reform UK;opposition;NA;fanatical net-zero crusade;NA;llm;baseline;0;1;1;0;1;0;1;48
60;"Richard Tice, the party's deputy leader, said the move was part of Miliband's ""fanatical net-zero crusade"" that would pile ""even more pain on to households that have already been stung by energy bills soaring by hundreds of pounds"".";actor-actor;Reform UK;opposition;Labour Party;net-zero climate policy;NA;llm;shortened;1;1;1;1;1;1;;48
60;"Richard Tice, the party's deputy leader, said the move was part of Miliband's ""fanatical net-zero crusade"" that would pile ""even more pain on to households that have already been stung by energy bills soaring by hundreds of pounds"".";actor_issue;Reform UK;opposition;NA;net-zero decarbonisation;NA;llm;fewshot;0;1;1;0;1;0;;48
93;Sam Alvis, the head of energy and environment at the Institute of Public Policy Research thinktank, said: “The urge to get bills down is the right one, everything should be on the table.”;actor_issue;Institute of Public Policy Research;support;NA;getting bills down;NA;llm;baseline;1;1;1;1;1;1;;49
93;Sam Alvis, the head of energy and environment at the Institute of Public Policy Research thinktank, said: “The urge to get bills down is the right one, everything should be on the table.”;actor_issue;Institute of Public Policy Research;support;NA;energy bills;NA;llm;shortened;1;1;1;1;1;1;;49
93;Sam Alvis, the head of energy and environment at the Institute of Public Policy Research thinktank, said: “The urge to get bills down is the right one, everything should be on the table.”;actor_issue;Institute of Public Policy Research;support;NA;reducing household energy bills;NA;llm;fewshot;1;1;1;1;1;1;;49
53;Speaking in Brazil, the energy secretary said acting to rein in the greenhouse gas emissions driving global warming would create jobs and protect future generations.;actor_issue;UK Government;support;NA;acting to rein in the greenhouse gas emissions driving global warming;NA;llm;baseline;1;1;1;1;1;1;1;51
53;Speaking in Brazil, the energy secretary said acting to rein in the greenhouse gas emissions driving global warming would create jobs and protect future generations.;actor_issue;Conservative Party;support;NA;climate change;NA;llm;shortened;1;1;0;1;1;0;1;51
53;Speaking in Brazil, the energy secretary said acting to rein in the greenhouse gas emissions driving global warming would create jobs and protect future generations.;actor_issue;UK Government;support;NA;reduction of greenhouse gas emissions / climate change mitigation;NA;llm;fewshot;1;1;1;1;1;1;;51
