id,text,contexted
11,"Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform","We’re about giving a better future for people’s kids and grandkids.” He warned that populists wanted people to slip into gloom and defeatism over the prospects of climate breakdown Progressives must make the climate their core rallying cry, as most people around the world want climate action, he said. > Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform < Some aides to Keir Starmer, the prime minister, sought to prevent him from going to Cop30. "
12,"It would leave Britain vulnerable to the whims of fossil fuel despots, put thousands of jobs at risk and blow a hole clean through the UK’s plans for climate action.”","He added: “The risk here is that, like winter fuel payments, the additional benefit of cutting support schemes for clean technology isn’t noticed by the majority, but really is by those that lose out.” Leo Vincent, a senior policy adviser at the E3G thinktank, said: “If this is really what the government is planning, it is robbing Peter to pay Paul This is a disastrous sticking plaster ‘solution’ that would let down working families across the country who need the security of predictable and low bills. > It would leave Britain vulnerable to the whims of fossil fuel despots, put thousands of jobs at risk and blow a hole clean through the UK’s plans for climate action.” < The Treasury has declined to comment."
13,"Rachel Reeves, the chancellor, is planning to announce a series of measures to bring down energy bills amid concerns the country’s stubbornly high cost of living is driving millions of voters to Reform UK.","Hundreds of thousands to lose heat pump subsidies in Reeves’s budget plan Hundreds of thousands of homeowners will lose their right to subsidies for eco-friendly heat pumps as a result of government plans to bring down energy bills at the budget. > Rachel Reeves, the chancellor, is planning to announce a series of measures to bring down energy bills amid concerns the country’s stubbornly high cost of living is driving millions of voters to Reform UK. < Among those measures, according to sources briefed on the budget preparations, is a plan to take energy efficiency levies off bills and fund them through the government’s existing warm homes plan."
14,"Another piece of the jigsaw is pure hydrogen pipelines, ensuring that production plants aren't reliant on customers next door and can supply a network of businesses","That poses a problem if a core customer doesn't want the hydrogen temporarily, for example when shut for maintenance: ""If you haven't got demand for hydrogen, you need to put it somewhere."" Part of the answer could be in the pipelines Butterworth's company operates; it has been carrying out trials to prove that hydrogen can be safely blended in with natural gas, and the government has consulted on a ""minded-to"" position to allow up to 2 per cent of blending This would help ""unlock Britain's hydrogen economy, reduce project risk and boost investor confidence"", Butterworth argues. > Another piece of the jigsaw is pure hydrogen pipelines, ensuring that production plants aren't reliant on customers next door and can supply a network of businesses < In the spending review in June the government pledged £500 million to ""create the UK's first regional hydrogen transport and storage network, connecting hydrogen producers with vital end users""."
15,"The projects falling away right now aren't really that big a concern.""","unless we have another molecular store for producing interseasonal electricity ? but not right now You don't need it in the short run > The projects falling away right now aren't really that big a concern."" < Michael Shanks, the energy minister, argued that since the publication of the previous government's hydrogen strategy ""the landscape has evolved significantly"" and ""electrification technologies have moved on rapidly, pointing to a more focused and essential role for hydrogen""."
16,"These are the people that can least afford solar panels, probably.""","But Vince said the loan scheme was wrong not to prioritise those who could not afford bills over middle-class families If I was doing it I would target public-sector housing first,"" he said. It tends to be the least well-off among us that live in public-sector housing > These are the people that can least afford solar panels, probably."" < Miliband had initially planned for all homes with heat pumps to receive discounts of £150 to £200 off their energy bills, paid for by the government"
17,Hydrogen is seen as a superfuel because it doesn't give off harmful emissions when burnt,"Today that target looks dead in the water, amid slow progress and setbacks that culminated this month in BP scrapping Britain's biggest clean hydrogen project I think it's probably fair to say that 10 gigawatts by 2030 is undeliverable,"" says Clare Jackson, chief executive of Hydrogen UK, a trade body. So what's gone wrong, and will a new government strategy revive hydrogen ambitions or relegate them? > Hydrogen is seen as a superfuel because it doesn't give off harmful emissions when burnt < The gas can be made cleanly in two ways: using renewable electricity to split water through electrolysis into oxygen and zero-carbon ""green"" hydrogen; or processing natural gas to produce low-carbon ""blue"" hydrogen, capturing most of the resulting carbon emissions."
18,"He said the world should not give up on limiting global heating to the crucial 1.5C threshold, as we could be on the verge of a rapid global shift to clean energy that will defy predictions of doom.","Nobody ever won an argument by soft pedalling or not making the argument.” Our agenda is a hopeful agenda The agenda of our opponents is the agenda of despair, that nothing can be done and we’ve just got to accept the inevitable of climate breakdown,” he told the Guardian. > He said the world should not give up on limiting global heating to the crucial 1.5C threshold, as we could be on the verge of a rapid global shift to clean energy that will defy predictions of doom. < I’m not giving up on 1.5C ,” said Miliband"
19,But the Institute for Fiscal Studies has pointed out that these savings will be quickly eroded by other rising energy costs.,Ofgem said this investment would add about £48 to an average gas bill ? and was higher than it might have been because the investment is being written off over a shorter period of time because of the transition to net zero.. robbing peter to pay paul At the budget Rachel Reeves took steps to address the political risk that the £300 pledge poses to Labour by announcing that some of the costs currently placed on bills would move to general taxation Reeves announced that the average household bills fall by £150 from April > But the Institute for Fiscal Studies has pointed out that these savings will be quickly eroded by other rising energy costs. < And that's not all ?
20,"The chancellor is hoping her focus on reducing energy bills will help bolster Labour’s slump in the polls, dent the appeal of Reform UK and mitigate the impact of widely expected tax rises in the autumn budget.","Reeves considers cut to green levies in effort to reduce cost of energy bills Rachel Reeves is considering slashing funding for more energy efficient homes to pay for a reduction in energy bills, sources have told the Guardian, as the chancellor looks for ways to ease the cost of living in this month’s budget. Reeves is finalising a multibillion pound energy support package that is likely to cut taxes and green levies from people’s bills as she looks to save as much as £170 from the average bill. > The chancellor is hoping her focus on reducing energy bills will help bolster Labour’s slump in the polls, dent the appeal of Reform UK and mitigate the impact of widely expected tax rises in the autumn budget. < In a rare pre-budget speech on Tuesday, the chancellor signalled she was prepared to make controversial decisions, as she and the prime minister debate breaking a pre-manifesto commitment and raising income tax. "
21,"He added: “The risk here is that, like winter fuel payments, the additional benefit of cutting support schemes for clean technology isn’t noticed by the majority, but really is by those that lose out.”","Supporters of the change say that the subsidies, which can be as high as £7,500, were largely going to middle-class households that could have afforded them anyway Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps. Sam Alvis, the head of energy and environment at the Institute of Public Policy Research thinktank, said: “The urge to get bills down is the right one, everything should be on the table.” > He added: “The risk here is that, like winter fuel payments, the additional benefit of cutting support schemes for clean technology isn’t noticed by the majority, but really is by those that lose out.” < Leo Vincent, a senior policy adviser at the E3G thinktank, said: “If this is really what the government is planning, it is robbing Peter to pay Paul"
22,"As political hostages to fortune go, Ed Miliband's pledge to cut household energy bills by £300 a year by 2030 was, as they say in Whitehall, ""unwise"".","Miliband's pledge that energy bills would fall was doomed from start; What is driving up prices and what can the government do to get them back on track? Oliver Wright reports > As political hostages to fortune go, Ed Miliband's pledge to cut household energy bills by £300 a year by 2030 was, as they say in Whitehall, ""unwise"". < The vow, made last summer when Labour was in opposition, was certainly bold"
23,"The findings were mirrored in analysis for The Times carried out last month, which found households will still be paying more for energy by the end of the decade than they were when Labour came to power last year.","They said the calls were about the ""communications of the £150, not the substance of it"", and that energy bosses had lined up to welcome the announcement. However, one major energy supplier's internal analysis shows bills will be back to today's levels, ""if not higher"", by the end of the parliament in 2029 A source said: ""The issue we have is how we can go big on the April cuts to customers when we know bills are only going to rise in the medium term."" > The findings were mirrored in analysis for The Times carried out last month, which found households will still be paying more for energy by the end of the decade than they were when Labour came to power last year. < Households face paying an extra £116 a year by 2030 to fund £90 billion of spending to expand Britain's power grid and maintain its gas pipelines"
24,"Leo Vincent, a senior policy adviser at the E3G thinktank, said: “If this is really what the government is planning, it is robbing Peter to pay Paul","Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps. Sam Alvis, the head of energy and environment at the Institute of Public Policy Research thinktank, said: “The urge to get bills down is the right one, everything should be on the table.” He added: “The risk here is that, like winter fuel payments, the additional benefit of cutting support schemes for clean technology isn’t noticed by the majority, but really is by those that lose out.” > Leo Vincent, a senior policy adviser at the E3G thinktank, said: “If this is really what the government is planning, it is robbing Peter to pay Paul < This is a disastrous sticking plaster ‘solution’ that would let down working families across the country who need the security of predictable and low bills."
25,The problem of the last 14 years is that political expediency always came above the national interest,"Reeves is also weighing up cutting other levies, such as the renewable obligation certificate programme, which currently goes up by retail price inflation but could be tied instead to the lower consumer price index. The Treasury declined to comment on budget speculation, but those in the energy industry say the plans could backfire in the longer term. In her speech, the chancellor also accused previous governments of putting “political convenience” before “economic imperative”, raiding capital budgets intended to support the public services to balance the books. > The problem of the last 14 years is that political expediency always came above the national interest < And that is why we are in the mess that we are in today,” she added."
26,"As I am here, scores of people are being searched for after being buried under a landslide","It is the children who end up in a camp suffering hunger and disease.” He urged world leaders to find funds to support vulnerable nations, saying climate finance was their main hope now that governments were cutting overseas development aid. Kenya’s deputy president, Kithure Kindiki, said: “Extreme drought alternating with floods continues to threaten livelihoods and wipe out the gains of our development agenda > As I am here, scores of people are being searched for after being buried under a landslide < Such incidents have become common.”"
27,"The Treasury declined to comment on budget speculation, but those in the energy industry say the plans could backfire in the longer term.","If the programme is reduced or cut entirely, the energy secretary, Ed Miliband, could choose to reallocate money from the £13bn warm homes plan, much of which is earmarked to pay for subsidies for electric heat pumps. The government decided as recently as June to protect the scheme, but the chancellor is thought to be willing to see it reduced to help bring bills down now. Reeves is also weighing up cutting other levies, such as the renewable obligation certificate programme, which currently goes up by retail price inflation but could be tied instead to the lower consumer price index. > The Treasury declined to comment on budget speculation, but those in the energy industry say the plans could backfire in the longer term. < In her speech, the chancellor also accused previous governments of putting “political convenience” before “economic imperative”, raiding capital budgets intended to support the public services to balance the books."
28,"The rest of the savings will come from cutting levies that the government imposes on energy bills, including the energy company obligation (ECO).","The Treasury has declined to comment. Reeves and the prime minister, Keir Starmer, have been looking for ways to bring energy bills down by an average of £170 a year, having promised before the election to cut them by £300 One element of that plan is to remove the 5% VAT charge on domestic energy bills , costing the government an estimated £2.5bn a year and saving consumers an average of £86. > The rest of the savings will come from cutting levies that the government imposes on energy bills, including the energy company obligation (ECO). < The ECO levy funds energy-efficiency schemes for low-income homes, such as insulation and new, more energy-efficient boilers"
29,This could allow ministers to invest huge amounts to subsidise technologies like solar power and batteries that could allow some homes to eliminate almost all electricity costs by generating and storing their own .,"In the long run all this investment being paid on bills should result in lower energy cost in the future ? even if that does not help Starmer and Miliband in their current predicament. What might help them, is the government's £13 billion warm homes fund > This could allow ministers to invest huge amounts to subsidise technologies like solar power and batteries that could allow some homes to eliminate almost all electricity costs by generating and storing their own www.power.No decisions have yet been made on how the fund will be spent ? < and successive governments' record in designing and rolling out energy-efficiency schemes have been dismal"
30,"Ed Miliband, the energy secretary, promised at the general election that household energy bills would fall by £300 by the end of the parliament.","It's a silly concept."" A source close to the plans said the framing of a zero-bill home was ""a bit much"", adding: ""While it is true that with batteries, solar and a heat pump, your bills will likely collapse, the vast majority of people will still have a small bill at the end of it."" About a million people are expected to have bills cut as a result of the new loan scheme > Ed Miliband, the energy secretary, promised at the general election that household energy bills would fall by £300 by the end of the parliament. < Claire Coutinho, the Conservative shadow energy secretary, said: ""There are 29 million families who were promised that Labour would cut their bills by £300, but ... this plan will benefit very few of those families"
31,About a million people are expected to have bills cut as a result of the new loan scheme,"Vince said the ambition was ""achievable if you spend enough money"", but added: ""If you spend £20,000 you'll get almost no bills, but you've paid for that, you've basically paid nearly two decades of bills up front It's a silly concept."" A source close to the plans said the framing of a zero-bill home was ""a bit much"", adding: ""While it is true that with batteries, solar and a heat pump, your bills will likely collapse, the vast majority of people will still have a small bill at the end of it."" > About a million people are expected to have bills cut as a result of the new loan scheme < Ed Miliband, the energy secretary, promised at the general election that household energy bills would fall by £300 by the end of the parliament."
32,"The move will mean restricting heat-pump subsidies so that only those receiving certain benefits will be allowed to claim them, sharply bringing down costs to the government.","Hundreds of thousands of homeowners will lose their right to subsidies for eco-friendly heat pumps as a result of government plans to bring down energy bills at the budget. Rachel Reeves, the chancellor, is planning to announce a series of measures to bring down energy bills amid concerns the country’s stubbornly high cost of living is driving millions of voters to Reform UK. Among those measures, according to sources briefed on the budget preparations, is a plan to take energy efficiency levies off bills and fund them through the government’s existing warm homes plan. > The move will mean restricting heat-pump subsidies so that only those receiving certain benefits will be allowed to claim them, sharply bringing down costs to the government. < Supporters of the change say that the subsidies, which can be as high as £7,500, were largely going to middle-class households that could have afforded them anyway"
33,This is a disastrous sticking plaster ‘solution’ that would let down working families across the country who need the security of predictable and low bills.,"Sam Alvis, the head of energy and environment at the Institute of Public Policy Research thinktank, said: “The urge to get bills down is the right one, everything should be on the table.” He added: “The risk here is that, like winter fuel payments, the additional benefit of cutting support schemes for clean technology isn’t noticed by the majority, but really is by those that lose out.” Leo Vincent, a senior policy adviser at the E3G thinktank, said: “If this is really what the government is planning, it is robbing Peter to pay Paul > This is a disastrous sticking plaster ‘solution’ that would let down working families across the country who need the security of predictable and low bills. < It would leave Britain vulnerable to the whims of fossil fuel despots, put thousands of jobs at risk and blow a hole clean through the UK’s plans for climate action.”"
34,"Some of the wording in the plan seems to deprioritise insulation,” said Christopher Hammond, the chief executive of UK100, a group of local government leaders for climate action","This week, the government set out its long-awaited “warm homes plan” , a £15bn investment to help reduce bills and increase clean energy It will fund solar panels, batteries and low-carbon heat pumps, as well as home insulation measures Although hailed by ministers as the UK’s biggest public investment in home upgrades, the plan has been greeted with concern by some campaigners and experts, because of its perceived emphasis on generating low-carbon energy rather than saving it through insulation. > Some of the wording in the plan seems to deprioritise insulation,” said Christopher Hammond, the chief executive of UK100, a group of local government leaders for climate action < But we know it [insulation] works"
35,"We can help the world in its the transition to clean energy,” he said.","Such incidents have become common.” He said the lack of climate finance was an insult and an injustice to those suffering from the climate crisis He also pointed out the positive story of the green energy revolution in Africa, noting that Kenya already gets 93% of its electricity from clean energy and was a vital source of critical minerals needed for wind turbines, solar panels and batteries > We can help the world in its the transition to clean energy,” he said. < Lula da Silva, the president of host nation Brazil, said: “It took 28 climate Cops for us to commit, in Dubai, to a just, orderly and equitable energy transition"
36,"Also, solar panels have dropped rapidly in price to about £6,000 including installation for the average house, and are now available in forms such as DIY plug-in sets and balcony panels","The government has not said how much of the £15bn will go towards insulation Despite the misgivings of experts, the emphasis on solar panels, batteries and heat pumps may yield results faster than insulation alone. Research published by the Department for Energy Security and Net Zero last autumn found that UK homes were not as draughty as had been previously thought, meaning that heat pumps – which run at lower temperatures than gas boilers – could be effective even without insulating first. > Also, solar panels have dropped rapidly in price to about £6,000 including installation for the average house, and are now available in forms such as DIY plug-in sets and balcony panels < A Whitehall source said the government wanted to “lean in” to what consumers wanted, rather than keep trying to push insulation on people first."
37,"Those consulted on the plans say the chancellor is particularly looking at reducing or eliminating the energy company obligation, under which energy firms help pay for home improvement measures such as insulation and new heating schemes","Alongside the VAT reduction, Reeves is planning to reduce or eliminate some of the green levies on bills, which could reduce costs for householders and undercut Reform’s promise to do the same. However, energy industry insiders say raiding energy efficiency funding to help pay for the move would be “disastrous”. Related: Prospect of breaking 50-year income tax taboo shows scale of Reeves’s challenge > Those consulted on the plans say the chancellor is particularly looking at reducing or eliminating the energy company obligation, under which energy firms help pay for home improvement measures such as insulation and new heating schemes < Last year, the National Audit Office warned of fraud and poor quality in some of the work undertaken under the scheme."
38,I think if we're in the late 2030s and we still haven't figured out how to make hydrogen cheaply then I'll be worried ?,"The government's Climate Change Committee said this year that by 2040 it saw hydrogen playing only ""a small but important role"" This would be ""particularly in industrial sectors such as ceramics and chemical production which may find it hard to electrify"", as well as ""within the electricity supply sector as a source of long-term storable energy that can be dispatched when needed and as a feedstock for synthetic fuels"". For Bell, that means we shouldn't be too concerned if the lofty hydrogen goals of the previous government don't materialise > I think if we're in the late 2030s and we still haven't figured out how to make hydrogen cheaply then I'll be worried ? < unless we have another molecular store for producing interseasonal electricity ?"
39,"That has been the experience of tens of thousands of households after what MPs have condemned as the “catastrophic failure” of the energy company obligation (Eco) insulation programme run by the last Conservative government, the results of which have only recently been uncovered.","How botched Tory insulation scheme looms over Labour’s warm homes plan No homeowner wants to be faced with a hefty bill for household repairs – and when those charges are the result of botched insulation under a UK government-run scheme, individual misfortune turns to national scandal. > That has been the experience of tens of thousands of households after what MPs have condemned as the “catastrophic failure” of the energy company obligation (Eco) insulation programme run by the last Conservative government, the results of which have only recently been uncovered. < In the worst case, one household was faced with a £250,000 bill for fixing the damage caused by poor installation"
40,"So why is this, what is driving up prices and is there anything the government can do to get back on track?. an unwise pledge The genesis of Miliband's pledge was a report by the energy think tank Ember dating back to 2023","That's what I want to achieve,"" he said this year. There is a very good reason for this caution Experts believe that not only is there no chance that the government will hit the £300 target but there is a strong likelihood that bills could be higher by the next election. > So why is this, what is driving up prices and is there anything the government can do to get back on track?. an unwise pledge The genesis of Miliband's pledge was a report by the energy think tank Ember dating back to 2023 < Its analysis suggested that if the UK was able to generate 98 per cent of its electricity needs from renewable sources by 2030, average household power bills would fall from £1,127 at the time to £828 a year."
41,"Rightwing parties were winning elections and topping polls because “people are deeply unhappy with the status quo”, he said","You’re seeing an absolute transformation in different parts of the world around solar power.” Renewable energy now attracts double the global investment – more than $2tn – of fossil fuels, and large emitters of carbon such as China and India are moving rapidly to low-carbon energy in place of coal. Downplaying the issue of climate breakdown would not work in the battle for voters by progressive parties against populists, in Miliband’s view > Rightwing parties were winning elections and topping polls because “people are deeply unhappy with the status quo”, he said < And they’re not wrong.”"
42,"Lula da Silva, the president of host nation Brazil, said: “It took 28 climate Cops for us to commit, in Dubai, to a just, orderly and equitable energy transition","He said the lack of climate finance was an insult and an injustice to those suffering from the climate crisis He also pointed out the positive story of the green energy revolution in Africa, noting that Kenya already gets 93% of its electricity from clean energy and was a vital source of critical minerals needed for wind turbines, solar panels and batteries We can help the world in its the transition to clean energy,” he said. > Lula da Silva, the president of host nation Brazil, said: “It took 28 climate Cops for us to commit, in Dubai, to a just, orderly and equitable energy transition < The Earth can no longer sustain the development model based on the intensive use of fossil fuels that has prevailed for the last 200 years.”"
43,"Dale Vince, the renewable energy magnate who has donated more than £6 million to the Labour Party, also said that plans to roll out cheap loans for households should be restricted to solar panels.","Push for zero-bill homes is silly, says top Labour donor Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support. > Dale Vince, the renewable energy magnate who has donated more than £6 million to the Labour Party, also said that plans to roll out cheap loans for households should be restricted to solar panels. < A warm homes fund to be announced in the coming weeks will set aside about £2 billion for households to buy subsidised solar panels, batteries and heat pumps."
44,"Hammond said the best way to ensure quality was for local governments to work closely with local suppliers over the long term, building relationships and trust so that problems could be rectified and work of a high standard replicated across areas, potentially through “street by street” retrofit programmes.","Even worse, it can be hard to tell whether the retrofit has worked These problems don’t always appear straight away Homes can look fine at first, but over time residents experience poorer air quality and buildings begin to deteriorate,” Moore added. > Hammond said the best way to ensure quality was for local governments to work closely with local suppliers over the long term, building relationships and trust so that problems could be rectified and work of a high standard replicated across areas, potentially through “street by street” retrofit programmes. < As well as the £5bn in grants directed at vulnerable people and those on low incomes, the warm homes plan will support those better able to pay"
45,"The Department for Energy Security and Net Zero said: ""This is nonsense - families will see an average of £150 in costs off their bill this April thanks to government action which has been welcomed by Martin Lewis [the consumer finance expert] and Citizens Advice","Ofgem has announced that levies on bills to fund gas pipelines and the highvoltage electricity grid, which currently stand at £222 a year, will increase by £40 in April After other rising costs are taken into account, only about £83 of the £150 discount will be passed on to consumers. According to Ofgem's impact assessment, the levies will rise for the next four years, reaching £338 a year by 2030. > The Department for Energy Security and Net Zero said: ""This is nonsense - families will see an average of £150 in costs off their bill this April thanks to government action which has been welcomed by Martin Lewis [the consumer finance expert] and Citizens Advice < We have made it clear to suppliers that every penny of those savings should be passed on to all households."""
46,"At the budget in November, Rachel Reeves said: ""We are keeping our promise to get energy bills down and cut the cost of living, with £150 cut from the average household energy bill from April.""","During the most recent call, on Thursday last week, staff at the Department for Energy Security and Net Zero implored companies to help ministers ""take the credit for the cut in bills"". A source at a major energy company said: ""They were asking us to email [our] customers to tell them about the wonderful bill reduction that's all thanks to the government Yet we all know that bills are going to rise over the course of the parliament because of decisions that ministers have made."" > At the budget in November, Rachel Reeves said: ""We are keeping our promise to get energy bills down and cut the cost of living, with £150 cut from the average household energy bill from April."" < This will be achieved by removing levies used to subsidise older renewable energy projects from bills and shifting the costs to general taxation instead."
47,"However, while BP's was selected as a priority project to receive government support and store its emissions under the North Sea, H2NorthEast is still awaiting selection","You're looking for off-takers who can sign up for 15 years, which is challenging when you've got industries that are really struggling and may not still be here in 15 years' time."" For now, she says ""demand in Teesside is still very structurally strong"" with heavy industry, power generation and chemicals sites all needing to decarbonise And BP's was not the only proposed blue hydrogen project on Teesside: Kellas and SSE have been developing another, H2NorthEast. > However, while BP's was selected as a priority project to receive government support and store its emissions under the North Sea, H2NorthEast is still awaiting selection < SSE said the companies had decided to ""pause"" the project pending ""more favourable policy and market conditions""."
48,"What's worse is that Ed Miliband and his ministers are ignoring the core problem: that Britain has the highest electricity prices in the world and their plans to decarbonise at breakneck speed will send prices even higher whilst lining the pockets of wind developers.""","About a million people are expected to have bills cut as a result of the new loan scheme Ed Miliband, the energy secretary, promised at the general election that household energy bills would fall by £300 by the end of the parliament. Claire Coutinho, the Conservative shadow energy secretary, said: ""There are 29 million families who were promised that Labour would cut their bills by £300, but ... this plan will benefit very few of those families > What's worse is that Ed Miliband and his ministers are ignoring the core problem: that Britain has the highest electricity prices in the world and their plans to decarbonise at breakneck speed will send prices even higher whilst lining the pockets of wind developers."" < Reform UK said that Labour's manifesto pledge to reduce energy bills lay ""in tatters"", adding that the new proposal ""drives the final nail into that broken promise""."
49,Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year.,"A third minister said they had concluded that voters wanted Labour to fix public services even if they did not like how it was paid for Several told the Guardian they believed the election pledge on tax was “stupid” for an opposition party. In a sign of internal government concerns over the possible market reaction, Labour has organised a series of pre-budget “economic insight sessions” for Labour MPs with economists and former ministers in recent weeks. > Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year. < Keir Starmer is understood to be particularly worried about the impact of an expected £100 rise in energy bills next spring, and wants to do enough to eliminate that and bring down costs even further."
