sentence;type;subject;subject_organisation;direction;object;object_organisation;issue;issue_cat;model;prompt;match_type ;match_subject ;match_direction ;match_object;match_issue ;match_whole ;match_cat;cs_id
And, because Miliband has set a 2030 deadline to produce almost all of our power from clean sources, many of these costs are on bills sooner and higher than they otherwise would be.;actor-issue;Miliband;Labour Party;support;NA;NA;produce almost all power from clean sources;RENEWABLES;gpt120;codebook;1;1;1;1;1;1;1;9
"Another industry source said the government wanted energy suppliers to help ministers ""take the credit for the cut in bills"", adding: ""They made it clear that, when we communicated to our customers about the April price drop we [should] say that it is because of the wonderful government"".";actor-actor;government;Labour Party;support;energy suppliers;energy industry;NA;NA;gpt120;codebook;1;0;1;0;1;0;0;10
"Another industry source said the government wanted energy suppliers to help ministers ""take the credit for the cut in bills"", adding: ""They made it clear that, when we communicated to our customers about the April price drop we [should] say that it is because of the wonderful government"".";actor-actor;industry source;energy industry;support;government;Labour Party;NA;NA;gpt120;codebook;1;1;1;1;1;1;0;10
"As political hostages to fortune go, Ed Miliband's pledge to cut household energy bills by £300 a year by 2030 was, as they say in Whitehall, ""unwise"".";actor-issue;Ed Miliband;Labour Party;opposition;NA;NA;cut household energy bills by £300 a year by 2030;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;11
"At the budget in November, Rachel Reeves said: ""We are keeping our promise to get energy bills down and cut the cost of living, with £150 cut from the average household energy bill from April.""";actor-issue;Rachel Reeves;Labour Party;support;NA;NA;energy bills;ENERGY USE;gpt120;codebook;1;1;1;1;1;1;0;12
Badenoch criticises Starmer for going to Cop30, claiming other leaders from 'serious' countries were staying away;actor-actor;Badenoch;Conservative Party;opposition;Starmer;Labour Party;NA;NA;gpt120;codebook;1;1;1;1;1;1;0;14
Badenoch criticises Starmer for going to Cop30, claiming other leaders from 'serious' countries were staying away;actor-issue;Badenoch;Conservative Party;opposition;NA;NA;going to Cop30;INTERNATIONAL COOPERATION;gpt120;codebook;0;1;1;0;1;0;1;14
But the Institute for Fiscal Studies has pointed out that these savings will be quickly eroded by other rising energy costs.;actor-issue;Institute for Fiscal Studies;Institute for Fiscal Studies;opposition;NA;NA;rising energy costs;ENERGY USE;gpt120;codebook;0;1;1;0;1;0;0;15
"Claire Coutinho, the Conservative shadow energy secretary, said: ""There are 29 million families who were promised that Labour would cut their bills by £300, but ... this plan will benefit very few of those families""";actor-actor;Claire Coutinho;Conservative Party;opposition;Labour;Labour Party;NA;NA;gpt120;codebook;1;1;1;1;1;1;0;16
"Claire Coutinho, the Conservative shadow energy secretary, said: ""There are 29 million families who were promised that Labour would cut their bills by £300, but ... this plan will benefit very few of those families""";actor-issue;Claire Coutinho;Conservative Party;opposition;NA;NA;cut household energy bills by £300;FINANCES;gpt120;codebook;0;1;1;0;0;0;0;16
Dale Vince, the renewable energy magnate who has donated more than £6 million to the Labour Party, also said that plans to roll out cheap loans for households should be restricted to solar panels.;actor-issue;Dale Vince;Labour Party;opposition;NA;NA;cheap loans for households;FINANCES;gpt120;codebook;1;1;0;1;0;0;0;18
Ed Miliband, the energy secretary, promised at the general election that household energy bills would fall by £300 by the end of the parliament.;actor-issue;Ed Miliband;Labour Party;support;NA;NA;household energy bills fall by £300;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;20
"During the most recent call, on Thursday last week, staff at the Department for Energy Security and Net Zero implored companies to help ministers ""take the credit for the cut in bills"".";actor-actor;staff at the Department for Energy Security and Net Zero;Department for Energy Security and Net Zero;support;companies;NA;cut in bills;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;20
Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps.;actor-actor;Energy industry experts;energy industry;opposition;ministers;UK Government;NA;NA;gpt120;codebook;0;1;0;0;0;0;0;21
Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps.;actor-issue;Energy industry experts;energy industry;support;NA;NA;transition from gas boilers to heat pumps;FOSSIL FUELS;gpt120;codebook;1;1;1;1;0;0;0;21
Energy industry experts, however, warn that by taking the support away ministers will slow the transition from gas boilers to more expensive but cleaner heat pumps.;actor-issue;ministers;UK Government;opposition;NA;NA;transition from gas boilers to heat pumps;FOSSIL FUELS;gpt120;codebook;1;0;0;1;0;0;0;21
Hammond said the best way to ensure quality was for local governments to work closely with local suppliers over the long term, building relationships and trust so that problems could be rectified and work of a high standard replicated across areas, potentially through “street by street” retrofit programmes.;actor-actor;Hammond;Labour Party;support;local governments;NA;retrofit programmes;CONSTRUCTION;gpt120;codebook;0;0;0;1;0;0;0;22
Hammond said the best way to ensure quality was for local governments to work closely with local suppliers over the long term, building relationships and trust so that problems could be rectified and work of a high standard replicated across areas, potentially through “street by street” retrofit programmes.;actor-actor;Hammond;Labour Party;support;local suppliers;NA;retrofit programmes;CONSTRUCTION;gpt120;codebook;0;0;0;1;0;0;0;22
He added: “The risk here is that, like winter fuel payments, the additional benefit of cutting support schemes for clean technology isn’t noticed by the majority, but really is by those that lose out.”;actor-issue;Sam Alvis;Institute of Public Policy Research;opposition;NA;NA;cutting support schemes for clean technology;FINANCES;gpt120;codebook;1;1;0;1;0;0;0;23
He said the world should not give up on limiting global heating to the crucial 1.5C threshold, as we could be on the verge of a rapid global shift to clean energy that will defy predictions of doom.;actor-issue;Miliband;Labour Party;support;NA;NA;limiting global heating to 1.5°C threshold;EMISSIONS;gpt120;codebook;1;1;1;1;0;0;0;24
However, while BP's was selected as a priority project to receive government support and store its emissions under the North Sea, H2NorthEast is still awaiting selection;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;0;0;0;0;0;0;0;25
Hundreds of thousands of homeowners will lose their right to subsidies for eco-friendly heat pumps as a result of government plans to bring down energy bills at the budget.;actor-issue;government;Labour Party;opposition;NA;NA;heat pump subsidies;CONSTRUCTION;gpt120;codebook;1;1;1;1;1;1;1;27
It would leave Britain vulnerable to the whims of fossil fuel despots, put thousands of jobs at risk and blow a hole clean through the UK’s plans for climate action.;actor-actor;It;UK Government;opposition;Britain;UK;NA;NA;gpt120;codebook;0;0;0;0;0;0;0;30
It would leave Britain vulnerable to the whims of fossil fuel despots, put thousands of jobs at risk and blow a hole clean through the UK’s plans for climate action.;actor-issue;It;UK Government;opposition;NA;NA;vulnerability to fossil fuel despots;FOSSIL FUELS;gpt120;codebook;1;0;0;1;0;0;0;30
It would leave Britain vulnerable to the whims of fossil fuel despots, put thousands of jobs at risk and blow a hole clean through the UK’s plans for climate action.;actor-actor;It;UK Government;opposition;the UK’s plans for climate action;UK Government;NA;NA;gpt120;codebook;0;0;0;0;0;0;0;30
The sector needs certainty and security now if any meaningful progress on tackling fuel poverty and driving down home heating bills is going to be made in this parliament,” she added.;actor-issue;The sector;Energy Efficiency Infrastructure Group;support;NA;NA;fuel poverty and home heating bills;CLIMATE JUSTICE;gpt120;codebook;1;1;1;1;0;0;0;32
Keir Starmer is understood to be particularly worried about the impact of an expected £100 rise in energy bills next spring, and wants to do enough to eliminate that and bring down costs even further.;actor-issue;Keir Starmer;Labour Party;opposition;NA;NA;£100 rise in energy bills;ENERGY USE;gpt120;codebook;1;1;0;1;1;0;0;33
Keir Starmer is understood to be particularly worried about the impact of an expected £100 rise in energy bills next spring, and wants to do enough to eliminate that and bring down costs even further.;actor-issue;Keir Starmer;Labour Party;support;NA;NA;lower energy bills;ENERGY USE;gpt120;codebook;1;1;1;1;1;1;0;33
"Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support.";actor-issue;Labour's biggest green donor;Labour Party;opposition;NA;NA;zerobill homes;CONSTRUCTION;gpt120;codebook;0;1;0;0;0;0;0;34
"Labour's biggest green donor has described a government push for ""zerobill homes"" a ""silly concept"" and called for poorer households to be singled out for support.";actor-issue;Labour's biggest green donor;Labour Party;support;NA;NA;targeted support for poorer households;FINANCES;gpt120;codebook;0;1;1;0;0;0;0;34
Leo Vincent, a senior policy adviser at the E3G thinktank, said: “If this is really what the government is planning, it is robbing Peter to pay Paul”;actor-actor;Leo Vincent;E3G;opposition;the government;UK Government;cutting support schemes for clean technology;FINANCES;gpt120;codebook;1;1;1;0;0;0;0;35
Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform;actor-actor;Miliband;Labour Party;opposition;some within his own party;Labour Party;NA;NA;gpt120;codebook;1;1;1;1;1;1;0;36
Miliband’s words also seemed aimed at some within his own party, who have sought in backroom briefings to play down the UK’s climate policies for fear of having them targeted by Reform;actor-issue;some within his own party;Labour Party;opposition;NA;NA;UK’s climate policies;CLIMATE CHANGE (general);gpt120;codebook;0;0;1;0;0;0;1;36
"Part of the answer could be in the pipelines Butterworth's company operates; it has been carrying out trials to prove that hydrogen can be safely blended in with natural gas, and the government has consulted on a ""minded-to"" position to allow up to 2 per cent of blending";actor-issue;National Gas;National Gas;support;NA;NA;hydrogen blending in natural gas pipelines;ENERGY USE;gpt120;codebook;1;0;1;1;0;0;0;38
"Part of the answer could be in the pipelines Butterworth's company operates; it has been carrying out trials to prove that hydrogen can be safely blended in with natural gas, and the government has consulted on a ""minded-to"" position to allow up to 2 per cent of blending";actor-issue;UK Government;UK Government;support;NA;NA;allow up to 2 % hydrogen blending in natural gas;ENERGY USE;gpt120;codebook;1;0;1;1;0;0;0;38
Rachel Reeves, the chancellor, is planning to announce a series of measures to bring down energy bills amid concerns the country’s stubbornly high cost of living is driving millions of voters to Reform UK.;actor-issue;Rachel Reeves;Labour Party;support;NA;NA;energy bills;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;39
Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year.;actor-issue;Reeves;Labour Party;support;NA;NA;high energy bills;ENERGY USE;gpt120;codebook;1;1;1;1;0;0;0;41
Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year.;actor-issue;Reeves;Labour Party;support;NA;NA;relief package for high energy bills;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;41
Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year.;actor-issue;prime minister;Labour Party;support;NA;NA;relief package for high energy bills;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;41
Reeves and the prime minister have identified high energy bills as being a major source of financial pressure for voters and are planning a relief package likely to cost about £3bn a year.;actor-issue;prime minister;Labour Party;support;NA;NA;high energy bills;ENERGY USE;gpt120;codebook;1;1;1;1;0;0;0;42
Reeves and the prime minister, Keir Starmer, have been looking for ways to bring energy bills down by an average of £170 a year, having promised before the election to cut them by £300;actor-issue;Reeves;Labour Party;support;NA;NA;energy bills;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;43
Reeves and the prime minister, Keir Starmer, have been looking for ways to bring energy bills down by an average of £170 a year, having promised before the election to cut them by £300;actor-issue;Keir Starmer;Labour Party;support;NA;NA;energy bills;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;44
Reeves is finalising a multibillion pound energy support package that is likely to cut taxes and green levies from people’s bills as she looks to save as much as £170 from the average bill.;actor-issue;Reeves;Labour Party;support;NA;NA;taxes;FINANCES;gpt120;codebook;1;1;1;1;1;1;1;45
Reeves is finalising a multibillion pound energy support package that is likely to cut taxes and green levies from people’s bills as she looks to save as much as £170 from the average bill.;actor-issue;Reeves;Labour Party;support;NA;NA;green levies;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;45
Reeves is finalising a multibillion pound energy support package that is likely to cut taxes and green levies from people’s bills as she looks to save as much as £170 from the average bill.;actor-issue;Reeves;Labour Party;support;NA;NA;average energy bill;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;45
"Reform UK said that Labour's manifesto pledge to reduce energy bills lay ""in tatters"", adding that the new proposal ""drives the final nail into that broken promise"".";actor-actor;Reform UK;Reform UK;opposition;Labour;Labour;NA;NA;gpt120;codebook;1;1;1;1;1;1;0;47
"Reform UK said that Labour's manifesto pledge to reduce energy bills lay ""in tatters"", adding that the new proposal ""drives the final nail into that broken promise"".";actor-issue;Reform UK;Reform UK;opposition;NA;NA;energy bills;FINANCES;gpt120;codebook;0;1;1;0;0;0;0;47
"Richard Tice, the party's deputy leader, said the move was part of Miliband's ""fanatical net-zero crusade"" that would pile ""even more pain on to households that have already been stung by energy bills soaring by hundreds of pounds"".";actor-actor;Richard Tice;Reform UK;opposition;Ed Miliband;Labour Party;NA;NA;gpt120;codebook;1;1;1;1;1;1;0;48
"Richard Tice, the party's deputy leader, said the move was part of Miliband's ""fanatical net-zero crusade"" that would pile ""even more pain on to households that have already been stung by energy bills soaring by hundreds of pounds"".";actor-issue;Richard Tice;Reform UK;opposition;NA;NA;net-zero;EMISSIONS;gpt120;codebook;0;1;1;0;0;0;1;48
Sam Alvis, the head of energy and environment at the Institute of Public Policy Research thinktank, said: “The urge to get bills down is the right one, everything should be on the table.”;actor-issue;Sam Alvis;Institute of Public Policy Research;support;NA;NA;reducing household energy bills;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;49
Speaking in Brazil, the energy secretary said acting to rein in the greenhouse gas emissions driving global warming would create jobs and protect future generations.;actor-issue;the energy secretary;Conservative Party;support;NA;NA;rein in greenhouse gas emissions;EMISSIONS;gpt120;codebook;1;0;1;1;1;1;1;51
"The Department for Energy Security and Net Zero said: ""This is nonsense - families will see an average of £150 in costs off their bill this April thanks to government action which has been welcomed by Martin Lewis [the consumer finance expert] and Citizens Advice""";actor-issue;Department for Energy Security and Net Zero;Department for Energy Security and Net Zero;support;NA;NA;£150 discount on families' energy bills;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;52
Tackling the climate emergency is the key issue that could turn the tide against hard‑right populists across the world, the UK’s energy secretary has said.;actor-issue;UK’s energy secretary;Labour Party;support;NA;NA;tackling the climate emergency;CLIMATE CHANGE (general);gpt120;codebook;1;1;1;1;1;1;1;58
Tackling the climate emergency is the key issue that could turn the tide against hard‑right populists across the world, the UK’s energy secretary has said.;actor-actor;UK’s energy secretary;Labour Party;opposition;hard‑right populists;NA;NA;NA;gpt120;codebook;0;1;0;1;0;0;0;58
"The Labour government has appeared to share its predecessors' enthusiasm, describing hydrogen as ""essential to achieve the government's clean energy superpower and growth missions"".";actor-actor;Labour government;Labour Party;support;predecessors' government;NA;NA;NA;gpt120;codebook;0;1;1;0;0;0;0;60
"The Labour government has appeared to share its predecessors' enthusiasm, describing hydrogen as ""essential to achieve the government's clean energy superpower and growth missions"".";actor-issue;Labour government;Labour Party;support;NA;NA;hydrogen;ENERGY USE;gpt120;codebook;1;1;1;1;0;0;0;60
"The chancellor also scrapped what she described as a ""failed scheme"" to improve the energy efficiency of poorer households, which was also funded through bills.";actor-issue;The chancellor;Labour Party;opposition;NA;NA;improve the energy efficiency of poorer households;CONSTRUCTION;gpt120;codebook;1;1;1;1;0;0;0;61
The chancellor is hoping her focus on reducing energy bills will help bolster Labour’s slump in the polls, dent the appeal of Reform UK and mitigate the impact of widely expected tax rises in the autumn budget.;actor-actor;The chancellor;Labour Party;support;Labour;Labour Party;NA;NA;gpt120;codebook;1;1;0;0;1;0;1;62
The chancellor is hoping her focus on reducing energy bills will help bolster Labour’s slump in the polls, dent the appeal of Reform UK and mitigate the impact of widely expected tax rises in the autumn budget.;actor-actor;The chancellor;Labour Party;opposition;Reform UK;Reform UK;NA;NA;gpt120;codebook;1;1;1;1;1;1;1;62
The chancellor is hoping her focus on reducing energy bills will help bolster Labour’s slump in the polls, dent the appeal of Reform UK and mitigate the impact of widely expected tax rises in the autumn budget.;actor-issue;The chancellor;Labour Party;opposition;NA;NA;tax rises;FINANCES;gpt120;codebook;1;1;0;1;0;0;0;63
The move will mean restricting heat-pump subsidies so that only those receiving certain benefits will be allowed to claim them, sharply bringing down costs to the government.;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;0;0;0;1;0;0;0;64
The government is offering subsidies to selected hydrogen developers to help bridge the gap between their costs and the price customers are willing to pay;actor-actor;The government;UK Government;support;selected hydrogen developers;NA;bridge the gap between developers' costs and customers' willingness to pay;FINANCES;gpt120;codebook;0;1;1;0;0;0;0;64
The rest of the savings will come from cutting levies that the government imposes on energy bills, including the energy company obligation (ECO).;actor-issue;the government;UK Government;support;NA;NA;levies on energy bills;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;66
This is a disastrous sticking plaster ‘solution’ that would let down working families across the country who need the security of predictable and low bills.;actor-issue;Leo Vincent;E3G;opposition;NA;NA;security of predictable and low bills;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;67
This week, the government set out its long-awaited “warm homes plan” , a £15bn investment to help reduce bills and increase clean energy;actor-issue;government;UK Government;support;NA;NA;reduce bills;FINANCES;gpt120;codebook;1;1;1;1;0;0;0;68
This week, the government set out its long-awaited “warm homes plan” , a £15bn investment to help reduce bills and increase clean energy;actor-issue;government;UK Government;support;NA;NA;increase clean energy;RENEWABLES;gpt120;codebook;1;1;1;1;1;1;1;68
Today that target looks dead in the water, amid slow progress and setbacks that culminated this month in BP scrapping Britain's biggest clean hydrogen project;actor-actor;BP;BP;opposition;Britain's biggest clean hydrogen project;NA;clean hydrogen project;RENEWABLES;gpt120;codebook;0;1;0;0;1;0;1;69
"Unveiling Britain's revamped energy strategy in 2022, Boris Johnson declared: ""We're going to produce vastly more hydrogen, which is easy to store, ready to go whenever we need it, and is a low-carbon superfuel of the future.""";actor-issue;Boris Johnson;Conservative Party;support;NA;NA;hydrogen production;ENERGY USE;gpt120;codebook;1;1;1;1;0;0;0;70
What's worse is that Ed Miliband and his ministers are ignoring the core problem: that Britain has the highest electricity prices in the world and their plans to decarbonise at breakneck speed will send prices even higher whilst lining the pockets of wind developers.;actor-issue;Ed Miliband and his ministers;Labour Party;opposition;NA;NA;high electricity prices;ENERGY USE;gpt120;codebook;0;0;1;1;0;0;0;71
What's worse is that Ed Miliband and his ministers are ignoring the core problem: that Britain has the highest electricity prices in the world and their plans to decarbonise at breakneck speed will send prices even higher whilst lining the pockets of wind developers.;actor-actor;Ed Miliband and his ministers;Labour Party;support;wind developers;wind developers;NA;NA;gpt120;codebook;1;0;0;0;0;0;0;71
"Some of the wording in the plan seems to deprioritise insulation,"" said Christopher Hammond, the chief executive of UK100, a group of local government leaders for climate action";actor-issue;Christopher Hammond;UK100;opposition;NA;NA;insulation;CONSTRUCTION;gpt120;codebook;1;1;0;1;1;0;1;73
When BP pulled the plug on H2Teesside, the most eye‑catching reason it gave was it was up against a rival proposal to build a data centre on the same site, which had won planning consent;actor-actor;BP;BP;opposition;H2Teesside;NA;NA;NA;gpt120;codebook;0;1;1;0;0;0;0;73
Well-insulated homes are cheap to run – in the best, heating bills are minimal – and pleasant to live in, especially for older people, children and those with health problems, but installing insulation is easy to get wrong.;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
Related: Prospect of breaking 50-year income tax taboo shows scale of Reeves’s challenge;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
Even if everything is exploding around him, he has a plan and knows the direction we’re going in,” they added.;actor-actor;Government sources;UK Government;support;prime minister;UK Government;NA;NA;gpt120;codebook;;;;;;;;99
Miliband spoke as world leaders have been meeting in Belém, Brazil, before the crucial Cop30 conference begins on Monday, at which governments of every stripe will attempt to forge a pathway that limits global temperatures and avoids the ravages of climate breakdown.;actor-issue;Miliband;Labour Party;opposition;NA;NA;defeatism;GOVERNANCE;gpt120;codebook;;;;;;;;99
However, there have been concerns about the increased risk of fires from the appliances;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
Another piece of the jigsaw is pure hydrogen pipelines, ensuring that production plants aren't reliant on customers next door and can supply a network of businesses;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
The projects falling away right now aren't really that big a concern.;actor-issue;Michael Shanks;Conservative Party;support;NA;NA;projects falling away;ENERGY USE;gpt120;codebook;;;;;;;;99
Hydrogen is seen as a superfuel because it doesn't give off harmful emissions when burnt;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
The findings were mirrored in analysis for The Times carried out last month, which found households will still be paying more for energy by the end of the decade than they were when Labour came to power last year.;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
The problem of the last 14 years is that political expediency always came above the national interest;actor-issue;the chancellor;Labour Party;opposition;NA;NA;political expediency;GOVERNANCE;gpt120;codebook;;;;;;;;99
As I am here, scores of people are being searched for after being buried under a landslide;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
The Treasury declined to comment on budget speculation, but those in the energy industry say the plans could backfire in the longer term.;actor-issue;The Treasury;UK Government;ambivalent;NA;NA;budget speculation;FINANCES;gpt120;codebook;;;;;;;;99
The Treasury declined to comment on budget speculation, but those in the energy industry say the plans could backfire in the longer term.;actor-issue;those in the energy industry;energy industry;opposition;NA;NA;energy policy plans;ENERGY USE;gpt120;codebook;;;;;;;;99
This could allow ministers to invest huge amounts to subsidise technologies like solar power and batteries that could allow some homes to eliminate almost all electricity costs by generating and storing their own www.power.;actor-issue;ministers;UK Government;support;NA;NA;subsidise solar power and batteries;RENEWABLES;gpt120;codebook;;;;;;;;99
About a million people are expected to have bills cut as a result of the new loan scheme;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
We can help the world in its the transition to clean energy,” he said.;actor-issue;Lula da Silva;Brazil;support;NA;NA;transition to clean energy;RENEWABLES;gpt120;codebook;;;;;;;;99
Also, solar panels have dropped rapidly in price to about £6,000 including installation for the average house, and are now available in forms such as DIY plug-in sets and balcony panels;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
Those consulted on the plans say the chancellor is particularly looking at reducing or eliminating the energy company obligation, under which energy firms help pay for home improvement measures such as insulation and new heating schemes;actor-actor;Those consulted on the plans;NA;ambivalent;Chancellor;Labour Party;NA;NA;gpt120;codebook;;;;;;;;99
Those consulted on the plans say the chancellor is particularly looking at reducing or eliminating the energy company obligation, under which energy firms help pay for home improvement measures such as insulation and new heating schemes;actor-issue;Chancellor;Labour Party;opposition;NA;NA;energy company obligation;FINANCES;gpt120;codebook;;;;;;;;99
I think if we're in the late 2030s and we still haven't figured out how to make hydrogen cheaply then I'll be worried ?;NA;NA;NA;NA;NA;NA;NA;NA;gpt120;codebook;;;;;;;;99
So why is this, what is driving up prices and is there anything the government can do to get back on track?;actor-issue;government;UK Government;ambivalent;NA;NA;energy prices;FINANCES;gpt120;codebook;;;;;;;;99
Rightwing parties were winning elections and topping polls because “people are deeply unhappy with the status quo”, he said;actor-issue;Rightwing parties;Conservative Party;ambivalent;NA;NA;elections and polls;GOVERNANCE;gpt120;codebook;;;;;;;;99
Lula da Silva, the president of host nation Brazil, said: “It took 28 climate Cops for us to commit, in Dubai, to a just, orderly and equitable energy transition;actor-issue;Lula da Silva;Brazil;support;NA;NA;just, orderly and equitable energy transition;ENERGY USE;gpt120;codebook;;;;;;;;99
The Earth can no longer sustain the development model based on the intensive use of fossil fuels that has prevailed for the last 200 years.;actor-issue;Lula da Silva;Brazil;opposition;NA;NA;intensive use of fossil fuels;FOSSIL FUELS;gpt120;codebook;;;;;;;;99
In a sign of internal government concerns over the possible market reaction, Labour has organised a series of pre-budget “economic insight sessions” for Labour MPs with economists and former ministers in recent weeks.;actor-actor;Labour;Labour Party;support;Labour MPs;Labour Party;NA;NA;gpt120;codebook;;;;;;;;99
He urged world leaders to find funds to support vulnerable nations, saying climate finance was their main hope now that governments were cutting overseas development aid.;actor-actor;Kithure Kindiki;Kenyan government;support;world leaders;NA;NA;NA;gpt120;codebook;;;;;;;;99
He urged world leaders to find funds to support vulnerable nations, saying climate finance was their main hope now that governments were cutting overseas development aid.;actor-issue;Kithure Kindiki;Kenyan government;support;NA;NA;climate finance;FINANCES;gpt120;codebook;;;;;;;;99
"She said countries were shifting to clean energy faster than implied by their climate targets, some of which she said had been less ambitious than planned because of ""the bullying we see from Washington""";actor-issue;She;UNFCCC;support;NA;NA;shifting to clean energy faster than implied by climate targets;RENEWABLES;gpt120;codebook;;;;;;;;99
